0.3	2.32E-07	1.46E-07	3.94E-08	-3.43E-08	-5.73E-08	-3.55E-08	3.52E-09	3.02E-08	3.04E-08	9.25E-09	-1.45E-08	-2.40E-08	-1.51E-08
0.29	2.26E-07	1.48E-07	4.73E-08	-2.64E-08	-5.52E-08	-4.08E-08	-5.15E-09	2.47E-08	3.22E-08	1.69E-08	-6.61E-09	-2.18E-08	-2.02E-08
0.28	2.20E-07	1.49E-07	5.48E-08	-1.81E-08	-5.19E-08	-4.48E-08	-1.36E-08	1.77E-08	3.15E-08	2.30E-08	2.02E-09	-1.68E-08	-2.23E-08
0.27	2.14E-07	1.50E-07	6.19E-08	-9.57E-09	-4.74E-08	-4.73E-08	-2.14E-08	9.76E-09	2.86E-08	2.71E-08	1.04E-08	-9.67E-09	-2.11E-08
0.26	2.07E-07	1.51E-07	6.85E-08	-8.89E-10	-4.18E-08	-4.83E-08	-2.83E-08	1.26E-09	2.37E-08	2.88E-08	1.77E-08	-1.31E-09	-1.67E-08
0.25	2.01E-07	1.50E-07	7.45E-08	7.80E-09	-3.53E-08	-4.77E-08	-3.39E-08	-7.32E-09	1.70E-08	2.79E-08	2.31E-08	7.21E-09	-9.83E-09
0.24	1.94E-07	1.50E-07	8.00E-08	1.64E-08	-2.80E-08	-4.56E-08	-3.81E-08	-1.55E-08	9.08E-09	2.45E-08	2.60E-08	1.48E-08	-1.48E-09
0.23	1.88E-07	1.48E-07	8.47E-08	2.47E-08	-2.00E-08	-4.20E-08	-4.06E-08	-2.28E-08	5.14E-10	1.89E-08	2.61E-08	2.05E-08	7.10E-09
0.22	1.81E-07	1.46E-07	8.88E-08	3.27E-08	-1.17E-08	-3.71E-08	-4.13E-08	-2.87E-08	-8.09E-09	1.17E-08	2.34E-08	2.36E-08	1.46E-08
0.21	1.74E-07	1.44E-07	9.22E-08	4.03E-08	-2.99E-09	-3.09E-08	-4.01E-08	-3.31E-08	-1.61E-08	3.36E-09	1.81E-08	2.37E-08	2.00E-08
0.2	1.66E-07	1.41E-07	9.48E-08	4.72E-08	5.76E-09	-2.37E-08	-3.73E-08	-3.55E-08	-2.30E-08	-5.25E-09	1.09E-08	2.07E-08	2.23E-08
0.19	1.59E-07	1.38E-07	9.67E-08	5.35E-08	1.44E-08	-1.58E-08	-3.27E-08	-3.59E-08	-2.82E-08	-1.34E-08	2.57E-09	1.51E-08	2.13E-08
0.18	1.51E-07	1.34E-07	9.77E-08	5.91E-08	2.27E-08	-7.31E-09	-2.67E-08	-3.43E-08	-3.14E-08	-2.04E-08	-6.11E-09	7.52E-09	1.71E-08
