0.36	0.904827052	0.770513243	-0.248689887	-0.982287251	-0.587785252	0.481753674	0.998026728
0.37	0.917754626	0.728968627	-0.33873792	-0.998026728	-0.4539905	0.63742399	0.960293686
0.38	0.929776486	0.684547106	-0.425779292	-0.998026728	-0.309016994	0.770513243	0.87630668
0.39	0.940880769	0.63742399	-0.509041416	-0.982287251	-0.156434465	0.87630668	0.75011107
0.4	0.951056516	0.587785252	-0.587785252	-0.951056516	-2.4503E-16	0.951056516	0.587785252
0.41	0.960293686	0.535826795	-0.661311865	-0.904827052	0.156434465	0.992114701	0.397147891
0.42	0.968583161	0.481753674	-0.728968627	-0.844327926	0.309016994	0.998026728	0.187381315
0.43	0.975916762	0.425779292	-0.790155012	-0.770513243	0.4539905	0.968583161	-0.031410759
0.44	0.982287251	0.368124553	-0.844327926	-0.684547106	0.587785252	0.904827052	-0.248689887
0.45	0.987688341	0.309016994	-0.891006524	-0.587785252	0.707106781	0.809016994	-0.4539905
0.46	0.992114701	0.248689887	-0.929776486	-0.481753674	0.809016994	0.684547106	-0.63742399
0.47	0.995561965	0.187381315	-0.960293686	-0.368124553	0.891006524	0.535826795	-0.790155012
0.48	0.998026728	0.125333234	-0.982287251	-0.248689887	0.951056516	0.368124553	-0.904827052
0.49	0.99950656	0.06279052	-0.995561965	-0.125333234	0.987688341	0.187381315	-0.975916762
0.5	1	1.22515E-16	-1	-2.4503E-16	1	3.67545E-16	-1
0.51	0.99950656	-0.06279052	-0.995561965	0.125333234	0.987688341	-0.187381315	-0.975916762
0.52	0.998026728	-0.125333234	-0.982287251	0.248689887	0.951056516	-0.368124553	-0.904827052
0.53	0.995561965	-0.187381315	-0.960293686	0.368124553	0.891006524	-0.535826795	-0.790155012
0.54	0.992114701	-0.248689887	-0.929776486	0.481753674	0.809016994	-0.684547106	-0.63742399
0.55	0.987688341	-0.309016994	-0.891006524	0.587785252	0.707106781	-0.809016994	-0.4539905
0.56	0.982287251	-0.368124553	-0.844327926	0.684547106	0.587785252	-0.904827052	-0.248689887
0.57	0.975916762	-0.425779292	-0.790155012	0.770513243	0.4539905	-0.968583161	-0.031410759
0.58	0.968583161	-0.481753674	-0.728968627	0.844327926	0.309016994	-0.998026728	0.187381315
0.59	0.960293686	-0.535826795	-0.661311865	0.904827052	0.156434465	-0.992114701	0.397147891
0.6	0.951056516	-0.587785252	-0.587785252	0.951056516	3.67545E-16	-0.951056516	0.587785252
0.61	0.940880769	-0.63742399	-0.509041416	0.982287251	-0.156434465	-0.87630668	0.75011107
0.62	0.929776486	-0.684547106	-0.425779292	0.998026728	-0.309016994	-0.770513243	0.87630668
0.63	0.917754626	-0.728968627	-0.33873792	0.998026728	-0.4539905	-0.63742399	0.960293686
0.64	0.904827052	-0.770513243	-0.248689887	0.982287251	-0.587785252	-0.481753674	0.998026728
0.65	0.891006524	-0.809016994	-0.156434465	0.951056516	-0.707106781	-0.309016994	0.987688341
0.66	0.87630668	-0.844327926	-0.06279052	0.904827052	-0.809016994	-0.125333234	0.929776486
0.67	0.860742027	-0.87630668	0.031410759	0.844327926	-0.891006524	0.06279052	0.827080574
0.68	0.844327926	-0.904827052	0.125333234	0.770513243	-0.951056516	0.248689887	0.684547106
0.69	0.827080574	-0.929776486	0.218143241	0.684547106	-0.987688341	0.425779292	0.509041416
0.7	0.809016994	-0.951056516	0.309016994	0.587785252	-1	0.587785252	0.309016994
0.71	0.790155012	-0.968583161	0.397147891	0.481753674	-0.987688341	0.728968627	0.094108313
0.72	0.770513243	-0.982287251	0.481753674	0.368124553	-0.951056516	0.844327926	-0.125333234
0.73	0.75011107	-0.992114701	0.562083378	0.248689887	-0.891006524	0.929776486	-0.33873792
0.74	0.728968627	-0.998026728	0.63742399	0.125333234	-0.809016994	0.982287251	-0.535826795
0.75	0.707106781	-1	0.707106781	3.67545E-16	-0.707106781	1	-0.707106781
0.76	0.684547106	-0.998026728	0.770513243	-0.125333234	-0.587785252	0.982287251	-0.844327926
0.77	0.661311865	-0.992114701	0.827080574	-0.248689887	-0.4539905	0.929776486	-0.940880769
0.78	0.63742399	-0.982287251	0.87630668	-0.368124553	-0.309016994	0.844327926	-0.992114701
0.79	0.612907054	-0.968583161	0.917754626	-0.481753674	-0.156434465	0.728968627	-0.995561965
